year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	04	05	20	19	42	dandenoth	EnDristON	Paper#9o	100.0	100.0	1	world	[-446, 64, -530]
2019	04	15	16	48	39	Stormrunners	EnDristON	Paper#9o	100.0	100.0	1	world	[-292, 57, -491]
2019	05	14	15	35	44	Stormrunners	EnDristON	Paper#9o	100.0	100.0	1	world	[-292, 57, -491]
2019	07	24	16	34	22	Stormrunners	EnDristON	Paper#9o	10.0	10.0	1	world	[-292, 57, -491]
